# AdAway default blocklist
# Blocking mobile ad providers and some analytics providers
# 
# Contribute:
# Create an issue at https://github.com/dschuermann/ad-away/issues
#
# Changelog:
# 2014-05-18 Now with a valid SSL certificate available at https://adaway.org/hosts.txt
# 2013-03-29 Integrated some hosts from
#            http://adblock.gjtech.net/?format=hostfile
# 2013-03-14 Back from the dead
# 
# License:
# CC Attribution 3.0 (http://creativecommons.org/licenses/by/3.0/)
#
# Contributions by:
# Kicelo, Dominik Schuermann
#

127.0.0.1 admin.vserv.mobi
127.0.0.1 c.vserv.mobi
127.0.0.1 ads.vserv.mobi
127.0.0.1 sf.vserv.mobi

# [pflexads.com]
127.0.0.1 hybl9bazbc35.pflexads.com
127.0.0.1 hhbekxxw5d9e.pflexads.com
127.0.0.1 www.pflexads.com
127.0.0.1 orencia.pflexads.com

# [velti.com]
127.0.0.1 atti.velti.com
127.0.0.1 ru.velti.com
127.0.0.1 mwc.velti.com

# [yoyo]
127.0.0.1 101com.com
127.0.0.1 101order.com
127.0.0.1 123found.com
127.0.0.1 123pagerank.com
127.0.0.1 180hits.de
127.0.0.1 180searchassistant.com
127.0.0.1 1x1rank.com
127.0.0.1 207.net
127.0.0.1 247media.com
127.0.0.1 24log.com
127.0.0.1 24log.de
127.0.0.1 24pm-affiliation.com
127.0.0.1 2mdn.net
127.0.0.1 2o7.net
127.0.0.1 360yield.com
127.0.0.1 4affiliate.net
127.0.0.1 4d5.net
127.0.0.1 50websads.com
127.0.0.1 518ad.com
127.0.0.1 51yes.com
127.0.0.1 600z.com
127.0.0.1 777partner.com
127.0.0.1 777seo.com
127.0.0.1 77tracking.com
127.0.0.1 7bpeople.com
127.0.0.1 7search.com
127.0.0.1 99count.com
127.0.0.1 a-ads.com
127.0.0.1 a-counter.kiev.ua
127.0.0.1 a.0day.kiev.ua
127.0.0.1 a.collective-media.net
127.0.0.1 a.consumer.net
127.0.0.1 a.mktw.net
127.0.0.1 a.sakh.com
127.0.0.1 a.ucoz.net
127.0.0.1 a.ucoz.ru
127.0.0.1 a.wowinterface.com
127.0.0.1 a.xanga.com
127.0.0.1 a32.g.a.yimg.com
127.0.0.1 aaddzz.com
127.0.0.1 abacho.net
127.0.0.1 abc-ads.com
127.0.0.1 abz.com
127.0.0.1 ac.rnm.ca
127.0.0.1 accounts.pkr.com
127.0.0.1 acsseo.com
127.0.0.1 actionsplash.com
127.0.0.1 actualdeals.com
127.0.0.1 acuityads.com
127.0.0.1 ad-center.com
127.0.0.1 ad-flow.com
127.0.0.1 ad-images.suntimes.com
127.0.0.1 ad-pay.de
127.0.0.1 ad-rotator.com
127.0.0.1 ad-server.gulasidorna.se
127.0.0.1 ad-serverparc.nl
127.0.0.1 ad-souk.com
127.0.0.1 ad-space.net
127.0.0.1 ad-tech.com
127.0.0.1 ad-universe.com
127.0.0.1 ad-up.com
127.0.0.1 ad.100.tbn.ru
127.0.0.1 ad.103092804.com
127.0.0.1 ad.37.com
127.0.0.1 ad.71i.de
127.0.0.1 ad.980x.com
127.0.0.1 ad.a8.net
127.0.0.1 ad.abcnews.com
127.0.0.1 ad.abctv.com
127.0.0.1 ad.about.com
127.0.0.1 ad.aboutit.de
127.0.0.1 ad.aboutwebservices.com
127.0.0.1 ad.abum.com
127.0.0.1 ad.allstar.cz
127.0.0.1 ad.altervista.org
127.0.0.1 ad.amgdgt.com
127.0.0.1 ad.anuntis.com
127.0.0.1 ad.auditude.com
127.0.0.1 ad.bizo.com
127.0.0.1 ad.bnmla.com
127.0.0.1 ad.bondage.com
127.0.0.1 ad.caradisiac.com
127.0.0.1 ad.centrum.cz
127.0.0.1 ad.cgi.cz
127.0.0.1 ad.chip.de
127.0.0.1 ad.choiceradio.com
127.0.0.1 ad.clix.pt
127.0.0.1 ad.cooks.com
127.0.0.1 ad.crwdcntrl.net
127.0.0.1 ad.digitallook.com
127.0.0.1 ad.doctissimo.fr
127.0.0.1 ad.domainfactory.de
127.0.0.1 ad.e-kolay.net
127.0.0.1 ad.eurosport.com
127.0.0.1 ad.f1cd.ru
127.0.0.1 ad.foxnetworks.com
127.0.0.1 ad.freecity.de
127.0.0.1 ad.gate24.ch
127.0.0.1 ad.globe7.com
127.0.0.1 ad.grafika.cz
127.0.0.1 ad.hbv.de
127.0.0.1 ad.hodomobile.com
127.0.0.1 ad.httpool.com
127.0.0.1 ad.hyena.cz
127.0.0.1 ad.iinfo.cz
127.0.0.1 ad.ilove.ch
127.0.0.1 ad.infoseek.com
127.0.0.1 ad.investopedia.com
127.0.0.1 ad.ir.ru
127.0.0.1 ad.jamba.net
127.0.0.1 ad.jamster.co.uk
127.0.0.1 ad.jetsoftware.com
127.0.0.1 ad.keenspace.com
127.0.0.1 ad.leadbolt.net
127.0.0.1 ad.liveinternet.ru
127.0.0.1 ad.lupa.cz
127.0.0.1 ad.m5prod.net
127.0.0.1 ad.media-servers.net
127.0.0.1 ad.mediastorm.hu
127.0.0.1 ad.mgd.de
127.0.0.1 ad.musicmatch.com
127.0.0.1 ad.nachtagenten.de
127.0.0.1 ad.nozonedata.com
127.0.0.1 ad.nttnavi.co.jp
127.0.0.1 ad.nwt.cz
127.0.0.1 ad.onad.eu
127.0.0.1 ad.pandora.tv
127.0.0.1 ad.pbs.bb.ru
127.0.0.1 ad.playground.ru
127.0.0.1 ad.preferances.com
127.0.0.1 ad.profiwin.de
127.0.0.1 ad.prv.pl
127.0.0.1 ad.rambler.ru
127.0.0.1 ad.reunion.com
127.0.0.1 ad.scanmedios.com
127.0.0.1 ad.sensismediasmart.com.au
127.0.0.1 ad.seznam.cz
127.0.0.1 ad.simgames.net
127.0.0.1 ad.slutload.com
127.0.0.1 ad.smartclip.net
127.0.0.1 ad.tbn.ru
127.0.0.1 ad.technoratimedia.com
127.0.0.1 ad.thewheelof.com
127.0.0.1 ad.top50.to
127.0.0.1 ad.tv2.no
127.0.0.1 ad.twitchguru.com
127.0.0.1 ad.usatoday.com
127.0.0.1 ad.virtual-nights.com
127.0.0.1 ad.watch.impress.co.jp
127.0.0.1 ad.wavu.hu
127.0.0.1 ad.way.cz
127.0.0.1 ad.weatherbug.com
127.0.0.1 ad.wsod.com
127.0.0.1 ad.wz.cz
127.0.0.1 ad.yadro.ru
127.0.0.1 ad.yourmedia.com
127.0.0.1 ad.zanox.com
127.0.0.1 ad0.bigmir.net
127.0.0.1 ad01.mediacorpsingapore.com
127.0.0.1 ad1.emediate.dk
127.0.0.1 ad1.emule-project.org
127.0.0.1 ad1.kde.cz
127.0.0.1 ad1.pamedia.com.au
127.0.0.1 ad2.bb.ru
127.0.0.1 ad2.iinfo.cz
127.0.0.1 ad2.ip.ro
127.0.0.1 ad2.linxcz.cz
127.0.0.1 ad2.lupa.cz
127.0.0.1 ad2flash.com
127.0.0.1 ad2games.com
127.0.0.1 ad3.iinfo.cz
127.0.0.1 ad3.pamedia.com.au
127.0.0.1 ad4game.com
127.0.0.1 adaction.de
127.0.0.1 adadvisor.net
127.0.0.1 adaos-ads.net
127.0.0.1 adap.tv
127.0.0.1 adapt.tv
127.0.0.1 adbanner.ro
127.0.0.1 adbard.net
127.0.0.1 adblade.com
127.0.0.1 adboost.de.vu
127.0.0.1 adboost.net
127.0.0.1 adbooth.net
127.0.0.1 adbot.com
127.0.0.1 adbrite.com
127.0.0.1 adbroker.de
127.0.0.1 adbunker.com
127.0.0.1 adbutler.com
127.0.0.1 adbutler.de
127.0.0.1 adbuyer.com
127.0.0.1 adbuyer3.lycos.com
127.0.0.1 adcash.com
127.0.0.1 adcast.deviantart.com
127.0.0.1 adcell.de
127.0.0.1 adcenter.mdf.se
127.0.0.1 adcenter.net
127.0.0.1 adcentriconline.com
127.0.0.1 adcept.net
127.0.0.1 adclick.com
127.0.0.1 adclient.uimserv.net
127.0.0.1 adclient1.tucows.com
127.0.0.1 adcloud.net
127.0.0.1 adcomplete.com
127.0.0.1 adconion.com
127.0.0.1 adcontent.gamespy.com
127.0.0.1 adcycle.com
127.0.0.1 add.newmedia.cz
127.0.0.1 addealing.com
127.0.0.1 addesktop.com
127.0.0.1 addfreestats.com
127.0.0.1 addme.com
127.0.0.1 adecn.com
127.0.0.1 ademails.com
127.0.0.1 adengage.com
127.0.0.1 adexpose.com
127.0.0.1 adext.inkclub.com
127.0.0.1 adf.ly
127.0.0.1 adfarm.mediaplex.com
127.0.0.1 adflight.com
127.0.0.1 adforce.com
127.0.0.1 adform.com
127.0.0.1 adgardener.com
127.0.0.1 adgoto.com
127.0.0.1 adgridwork.com
127.0.0.1 adhese.be
127.0.0.1 adhese.com
127.0.0.1 adi.mainichi.co.jp
127.0.0.1 adimage.asiaone.com.sg
127.0.0.1 adimage.guardian.co.uk
127.0.0.1 adimages.been.com
127.0.0.1 adimages.carsoup.com
127.0.0.1 adimages.go.com
127.0.0.1 adimages.homestore.com
127.0.0.1 adimages.sanomawsoy.fi
127.0.0.1 adimg.cnet.com
127.0.0.1 adimg.com.com
127.0.0.1 adimg.uimserv.net
127.0.0.1 adimg1.chosun.com
127.0.0.1 adimgs.sapo.pt
127.0.0.1 adimpact.com
127.0.0.1 adinjector.net
127.0.0.1 adinterax.com
127.0.0.1 adisfy.com
127.0.0.1 adition.com
127.0.0.1 adition.de
127.0.0.1 adition.net
127.0.0.1 adjix.com
127.0.0.1 adjug.com
127.0.0.1 adjuggler.com
127.0.0.1 adjuggler.yourdictionary.com
127.0.0.1 adjustnetwork.com
127.0.0.1 adk2.com
127.0.0.1 adk2ads.tictacti.com
127.0.0.1 adland.ru
127.0.0.1 adlantic.nl
127.0.0.1 adlegend.com
127.0.0.1 adlink.de
127.0.0.1 adlog.com.com
127.0.0.1 adloox.com
127.0.0.1 adlooxtracking.com
127.0.0.1 adlure.net
127.0.0.1 admagnet.net
127.0.0.1 admailtiser.com
127.0.0.1 adman.gr
127.0.0.1 adman.in.gr
127.0.0.1 adman.otenet.gr
127.0.0.1 admanagement.ch
127.0.0.1 espireweb.com
127.0.0.1 admanager.btopenworld.com
127.0.0.1 admanager.carsoup.com
127.0.0.1 admarketplace.net
127.0.0.1 admarvel.com
127.0.0.1 admax.nexage.com
127.0.0.1 admedia.com
127.0.0.1 admedia.ro
127.0.0.1 admeld.com
127.0.0.1 admeta.com
127.0.0.1 admex.com
127.0.0.1 adminder.com
127.0.0.1 adminshop.com
127.0.0.1 admob.com
127.0.0.1 admonitor.com
127.0.0.1 admotion.com.ar
127.0.0.1 adnet-media.net
127.0.0.1 adnet.asahi.com
127.0.0.1 adnet.biz
127.0.0.1 adnet.de
127.0.0.1 adnet.ru
127.0.0.1 adnet.worldreviewer.com
127.0.0.1 adnetinteractive.com
127.0.0.1 adnetwork.net
127.0.0.1 adnews.maddog2000.de
127.0.0.1 adnxs.com
127.0.0.1 adocean.pl
127.0.0.1 adonspot.com
127.0.0.1 adoperator.com
127.0.0.1 adorigin.com
127.0.0.1 adpepper.dk
127.0.0.1 adpepper.nl
127.0.0.1 adperium.com
127.0.0.1 adpost.com
127.0.0.1 adprofile.net
127.0.0.1 adprojekt.pl
127.0.0.1 adq.nextag.com
127.0.0.1 adreactor.com
127.0.0.1 adremedy.com
127.0.0.1 adreporting.com
127.0.0.1 adres.internet.com
127.0.0.1 www.espireweb.com
127.0.0.1 adrevolver.com
127.0.0.1 adriver.ru
127.0.0.1 adrolays.de
127.0.0.1 adroll.com
127.0.0.1 adrotate.de
127.0.0.1 adrotator.net
127.0.0.1 adrotator.se
127.0.0.1 ads-click.com
127.0.0.1 ads.4tube.com
127.0.0.1 ads.5ci.lt
127.0.0.1 ads.abovetopsecret.com
127.0.0.1 ads.aceweb.net
127.0.0.1 ads.activestate.com
127.0.0.1 ads.adfox.ru
127.0.0.1 ads.administrator.de
127.0.0.1 ads.adshareware.net
127.0.0.1 ads.adultfriendfinder.com
127.0.0.1 ads.adultking.com
127.0.0.1 ads.adultswim.com
127.0.0.1 ads.advance.net
127.0.0.1 ads.adverline.com
127.0.0.1 ads.affiliates.match.com
127.0.0.1 ads.ak.facebook.com
127.0.0.1 ads.ak.facebook.com.edgesuite.net
127.0.0.1 ads.allvatar.com
127.0.0.1 ads.alt.com
127.0.0.1 ads.alwayson-network.com
127.0.0.1 ads.amdmb.com
127.0.0.1 ads.amigos.com
127.0.0.1 ads.aol.co.uk
127.0.0.1 ads.aol.com
127.0.0.1 ads.apn.co.nz
127.0.0.1 ads.appsgeyser.com
127.0.0.1 ads.as4x.tmcs.net
127.0.0.1 ads.as4x.tmcs.ticketmaster.com
127.0.0.1 ads.asia1.com.sg
127.0.0.1 ads.asiafriendfinder.com
127.0.0.1 ads.ask.com
127.0.0.1 ads.aspalliance.com
127.0.0.1 ads.avazu.net
127.0.0.1 ads.batpmturner.com
127.0.0.1 ads.beenetworks.net
127.0.0.1 ads.belointeractive.com
127.0.0.1 ads.berlinonline.de
127.0.0.1 ads.betanews.com
127.0.0.1 ads.betfair.com
127.0.0.1 ads.betfair.com.au
127.0.0.1 ads.bigchurch.com
127.0.0.1 ads.bigfoot.com
127.0.0.1 ads.billiton.de
127.0.0.1 ads.bing.com
127.0.0.1 ads.bittorrent.com
127.0.0.1 ads.blog.com
127.0.0.1 ads.bloomberg.com
127.0.0.1 ads.bluelithium.com
127.0.0.1 ads.bluemountain.com
127.0.0.1 ads.bluesq.com
127.0.0.1 ads.bonniercorp.com
127.0.0.1 ads.boylesports.com
127.0.0.1 ads.brabys.com
127.0.0.1 ads.brain.pk
127.0.0.1 ads.brazzers.com
127.0.0.1 ads.bumq.com
127.0.0.1 ads.businessweek.com
127.0.0.1 ads.canalblog.com
127.0.0.1 ads.canoe.ca
127.0.0.1 ads.carocean.co.uk

# [celtra.com]
127.0.0.1 cdn.celtra.com
127.0.0.1 ads.celtra.com
127.0.0.1 cache-ssl.celtra.com
127.0.0.1 cache.celtra.com
127.0.0.1 track.celtra.com

# [inner-active.mobi]
127.0.0.1 wv.inner-active.mobi
127.0.0.1 cdn1.inner-active.mobi
127.0.0.1 m2m1.inner-active.mobi

# [Jumptab]
127.0.0.1 bos-tapreq01.jumptap.com
127.0.0.1 bos-tapreq02.jumptap.com
127.0.0.1 bos-tapreq03.jumptap.com
127.0.0.1 bos-tapreq04.jumptap.com
127.0.0.1 bos-tapreq05.jumptap.com
127.0.0.1 bos-tapreq06.jumptap.com
127.0.0.1 bos-tapreq07.jumptap.com
127.0.0.1 bos-tapreq08.jumptap.com
127.0.0.1 bos-tapreq09.jumptap.com
127.0.0.1 bos-tapreq10.jumptap.com
127.0.0.1 bos-tapreq11.jumptap.com
127.0.0.1 bos-tapreq12.jumptap.com
127.0.0.1 bos-tapreq13.jumptap.com
127.0.0.1 bos-tapreq14.jumptap.com
127.0.0.1 bos-tapreq15.jumptap.com
127.0.0.1 bos-tapreq16.jumptap.com
127.0.0.1 bos-tapreq17.jumptap.com
127.0.0.1 bos-tapreq18.jumptap.com
127.0.0.1 bos-tapreq19.jumptap.com
127.0.0.1 bos-tapreq20.jumptap.com
127.0.0.1 web64.jumptap.com
127.0.0.1 web63.jumptap.com
127.0.0.1 web65.jumptap.com
127.0.0.1 bo.jumptap.com
127.0.0.1 i.jumptap.com

# [applovin]
127.0.0.1 a.applovin.com
127.0.0.1 d.applovin.com
127.0.0.1 pdn.applovin.com

# [Mobpartner]
127.0.0.1 mobpartner.mobi
127.0.0.1 go.mobpartner.mobi
127.0.0.1 r.mobpartner.mobi

# [Adinfuse]
127.0.0.1 uk-ad2.adinfuse.com
127.0.0.1 adinfuse.com
127.0.0.1 go.adinfuse.com
127.0.0.1 ad1.adinfuse.com
127.0.0.1 ad2.adinfuse.com
127.0.0.1 sky.adinfuse.com
127.0.0.1 orange-fr.adinfuse.com
127.0.0.1 sky-connect.adinfuse.com
127.0.0.1 uk-go.adinfuse.com
127.0.0.1 orangeuk-mc.adinfuse.com
127.0.0.1 intouch.adinfuse.com
127.0.0.1 funnel0.adinfuse.com

# [mydas.mobi]
127.0.0.1 cvt.mydas.mobi
127.0.0.1 lp.mydas.mobi
127.0.0.1 golds.lp.mydas.mobi
127.0.0.1 suo.lp.mydas.mobi
127.0.0.1 aio.lp.mydas.mobi
127.0.0.1 lp.mp.mydas.mobi
127.0.0.1 media.mydas.mobi
127.0.0.1 ads.mp.mydas.mobi # with many subdomains

# [appads.com]
127.0.0.1 neptune.appads.com
127.0.0.1 neptune1.appads.com
127.0.0.1 neptune2.appads.com
127.0.0.1 neptune3.appads.com
127.0.0.1 saturn.appads.com
127.0.0.1 saturn1.appads.com
127.0.0.1 saturn2.appads.com
127.0.0.1 saturn3.appads.com
127.0.0.1 jupiter.appads.com
127.0.0.1 jupiter1.appads.com
127.0.0.1 jupiter2.appads.com
127.0.0.1 jupiter3.appads.com
127.0.0.1 req.appads.com
127.0.0.1 req1.appads.com
127.0.0.1 req2.appads.com
127.0.0.1 req3.appads.com

# [yandex.ru]
127.0.0.1 mc.yandex.ru
127.0.0.1 an.yandex.ru

# [tapad]
127.0.0.1 swappit.tapad.com
127.0.0.1 campaign-tapad.s3.amazonaws.com
127.0.0.1 adsrv1.tapad.com

# [mojiva.com]
127.0.0.1 ads1.mojiva.com
127.0.0.1 ads2.mojiva.com
127.0.0.1 ads3.mojiva.com
127.0.0.1 ads4.mojiva.com
127.0.0.1 ads5.mojiva.com

# [inmobi.com]
127.0.0.1 i.w.inmobi.com #
127.0.0.1 r.w.inmobi.com # in-app provider
127.0.0.1 c.w.inmobi.com
127.0.0.1 adtracker.inmobi.com
127.0.0.1 china.inmobi.com
127.0.0.1 japan.inmobi.com

# [phluantmobile.net]
127.0.0.1 mdn1.phluantmobile.net
127.0.0.1 mdn2.phluantmobile.net
127.0.0.1 mdn3.phluantmobile.net
127.0.0.1 mdn3origin.phluantmobile.net

# [smaato.net]
127.0.0.1 soma.smaato.net
127.0.0.1 c29new.smaato.net
127.0.0.1 c01.smaato.net
127.0.0.1 c02.smaato.net
127.0.0.1 c03.smaato.net
127.0.0.1 c04.smaato.net
127.0.0.1 c05.smaato.net
127.0.0.1 c06.smaato.net
127.0.0.1 c07.smaato.net
127.0.0.1 c08.smaato.net
127.0.0.1 c09.smaato.net
127.0.0.1 c10.smaato.net
127.0.0.1 c11.smaato.net
127.0.0.1 c12.smaato.net
127.0.0.1 c13.smaato.net
127.0.0.1 c14.smaato.net
127.0.0.1 c15.smaato.net
127.0.0.1 c16.smaato.net
127.0.0.1 c17.smaato.net
127.0.0.1 c18.smaato.net
127.0.0.1 c19.smaato.net
127.0.0.1 c20.smaato.net
127.0.0.1 c21.smaato.net
127.0.0.1 c22.smaato.net
127.0.0.1 c23.smaato.net
127.0.0.1 c24.smaato.net
127.0.0.1 c25.smaato.net
127.0.0.1 c26.smaato.net
127.0.0.1 c27.smaato.net
127.0.0.1 c28.smaato.net
127.0.0.1 c29.smaato.net
127.0.0.1 c30.smaato.net
127.0.0.1 c31.smaato.net
127.0.0.1 c32.smaato.net
127.0.0.1 c33.smaato.net
127.0.0.1 c34.smaato.net
127.0.0.1 c35.smaato.net
127.0.0.1 c36.smaato.net
127.0.0.1 c37.smaato.net
127.0.0.1 c38.smaato.net
127.0.0.1 c39.smaato.net
127.0.0.1 c40.smaato.net
127.0.0.1 c41.smaato.net
127.0.0.1 c42.smaato.net
127.0.0.1 c43.smaato.net
127.0.0.1 c44.smaato.net
127.0.0.1 c45.smaato.net
127.0.0.1 c46.smaato.net
127.0.0.1 c47.smaato.net
127.0.0.1 c48.smaato.net
127.0.0.1 c49.smaato.net
127.0.0.1 c50.smaato.net
127.0.0.1 c51.smaato.net
127.0.0.1 c52.smaato.net
127.0.0.1 c53.smaato.net
127.0.0.1 c54.smaato.net
127.0.0.1 c55.smaato.net
127.0.0.1 c56.smaato.net
127.0.0.1 c57.smaato.net
127.0.0.1 c58.smaato.net
127.0.0.1 c59.smaato.net
127.0.0.1 c60.smaato.net
127.0.0.1 f03.smaato.net
127.0.0.1 f04.smaato.net
127.0.0.1 f05.smaato.net
127.0.0.1 f06.smaato.net
127.0.0.1 f07.smaato.net
127.0.0.1 f08.smaato.net
127.0.0.1 f09.smaato.net
127.0.0.1 f10.smaato.net
127.0.0.1 f11.smaato.net
127.0.0.1 f12.smaato.net
127.0.0.1 f13.smaato.net
127.0.0.1 f14.smaato.net
127.0.0.1 f15.smaato.net
127.0.0.1 f16.smaato.net
127.0.0.1 f17.smaato.net
127.0.0.1 f18.smaato.net
127.0.0.1 f19.smaato.net
127.0.0.1 f20.smaato.net
127.0.0.1 f21.smaato.net
127.0.0.1 f22.smaato.net
127.0.0.1 f23.smaato.net
127.0.0.1 f24.smaato.net
127.0.0.1 f25.smaato.net
127.0.0.1 f26.smaato.net
127.0.0.1 f27.smaato.net
127.0.0.1 f28.smaato.net
127.0.0.1 f29.smaato.net
127.0.0.1 f30.smaato.net
127.0.0.1 f31.smaato.net
127.0.0.1 f32.smaato.net
127.0.0.1 f33.smaato.net
127.0.0.1 f34.smaato.net
127.0.0.1 f35.smaato.net
127.0.0.1 f36.smaato.net
127.0.0.1 f37.smaato.net
127.0.0.1 f38.smaato.net
127.0.0.1 f39.smaato.net
127.0.0.1 f40.smaato.net
127.0.0.1 f41.smaato.net
127.0.0.1 f42.smaato.net
127.0.0.1 f43.smaato.net
127.0.0.1 f44.smaato.net
127.0.0.1 f45.smaato.net
127.0.0.1 f46.smaato.net
127.0.0.1 f47.smaato.net
127.0.0.1 f48.smaato.net
127.0.0.1 f49.smaato.net
127.0.0.1 f50.smaato.net
127.0.0.1 f51.smaato.net
127.0.0.1 f52.smaato.net
127.0.0.1 f53.smaato.net
127.0.0.1 f54.smaato.net
127.0.0.1 f55.smaato.net
127.0.0.1 f56.smaato.net
127.0.0.1 f57.smaato.net
127.0.0.1 f58.smaato.net
127.0.0.1 f59.smaato.net
127.0.0.1 f60.smaato.net

# [mojiva.com]
127.0.0.1 img.ads1.mojiva.com
127.0.0.1 img.ads2.mojiva.com
127.0.0.1 img.ads3.mojiva.com
127.0.0.1 img.ads4.mojiva.com

# [mocean.mobi]
127.0.0.1 img.ads1.mocean.mobi
127.0.0.1 img.ads2.mocean.mobi
127.0.0.1 img.ads3.mocean.mobi
127.0.0.1 img.ads4.mocean.mobi

# [Smart Adserver]
127.0.0.1 akamai.smartadserver.com
127.0.0.1 cdn1.smartadserver.com
127.0.0.1 diff.smartadserver.com
127.0.0.1 diff2.smartadserver.com
127.0.0.1 diff3.smartadserver.com
127.0.0.1 eqx.smartadserver.com
127.0.0.1 im2.smartadserver.com
127.0.0.1 itx5-publicidad.smartadserver.com
127.0.0.1 itx5.smartadserver.com
127.0.0.1 tcy.smartadserver.com
127.0.0.1 ww129.smartadserver.com
127.0.0.1 ww13.smartadserver.com
127.0.0.1 ww14.smartadserver.com
127.0.0.1 ww234.smartadserver.com
127.0.0.1 ww251.smartadserver.com
127.0.0.1 ww264.smartadserver.com
127.0.0.1 ww302.smartadserver.com
127.0.0.1 ww362.smartadserver.com
127.0.0.1 ww370.smartadserver.com
127.0.0.1 ww381.smartadserver.com
127.0.0.1 ww392.smartadserver.com
127.0.0.1 ww55.smartadserver.com
127.0.0.1 ww57.smartadserver.com
127.0.0.1 ww84.smartadserver.com
127.0.0.1 www.smartadserver.com
127.0.0.1 www2.smartadserver.com
127.0.0.1 www3.smartadserver.com
127.0.0.1 www4.smartadserver.com

# [Mobclix]
127.0.0.1 ads.mobclix.com
127.0.0.1 data.mobclix.com
127.0.0.1 s.mobclix.com

# [MdotM, Inc.]
127.0.0.1 ads.mdotm.com
127.0.0.1 cdn.mdotm.com

# [Greystripe]
127.0.0.1 ads2.greystripe.com
127.0.0.1 adsx.greystripe.com
127.0.0.1 c.greystripe.com

# [Amazon]
127.0.0.1 aax-us-east.amazon-adsystem.com
127.0.0.1 aax-us-west.amazon-adsystem.com
